example_id,gold_answer,k0_answer,k0_correct,k0_new_anchor,k10_answer,k10_correct,k10_new_anchor,k1_answer,k1_correct,k1_new_anchor,k2_answer,k2_correct,k2_new_anchor,k3_answer,k3_correct,k3_new_anchor,k4_answer,k4_correct,k4_new_anchor,k5_answer,k5_correct,k5_new_anchor,k6_answer,k6_correct,k6_new_anchor,k7_answer,k7_correct,k7_new_anchor,k8_answer,k8_correct,k8_new_anchor,k9_answer,k9_correct,k9_new_anchor,policy
0,18,18,True,[],18,True,"[""=""]",18,True,"["" <<""]",18,True,"[""9""]",18,True,"["" every""]",18,True,"["" duck""]",18,True,"[""’s""]",18,True,"[""She""]",18,True,"["" *""]",18,True,"[""1""]",18,True,"["" day""]",greedy_ig
0,18,18,True,[],18,True,"["" <<""]",26,False,"[""Janet""]",16,False,"["" sells""]",18,True,"[""1""]",16,False,"[""6""]",18,True,"["" -""]",18,True,"[""3""]",18,True,"["" -""]",18,True,"[""4""]",18,True,"["" =""]",prefix
1,3,3,True,[],3,True,"[""/""]",3,True,"["">>""]",3,True,"[""3""]",3,True,"["" total""]",3,True,"["" takes""]",3,True,"[""So""]",3,True,"[""/""]",3,True,"["" fiber""]",3,True,"[""=""]",3,True,"[""=""]",greedy_ig
1,3,3,True,[],3,True,"[""2""]",3,True,"[""It""]",3,True,"["" takes""]",3,True,"[""2""]",3,True,"[""/""]",3,True,"[""2""]",3,True,"[""=""]",3,True,"[""<<""]",3,True,"[""2""]",3,True,"[""/""]",prefix
2,70000,175000,False,[],60000,False,"[""0""]",180000,False,"[""8""]",115000,False,"["".""]",115000,False,"["".""]",115000,False,"[""0""]",115000,False,"[""0""]",60000,False,"[""0""]",60000,False,"["",""]",60000,False,"[""5""]",60000,False,"[""0""]",greedy_ig
2,70000,175000,False,[],100000,False,"["" to""]",175000,False,"[""The""]",165000,False,"["" cost""]",105000,False,"["" of""]",140000,False,"["" the""]",140000,False,"["" house""]",140000,False,"["" and""]",140000,False,"["" repairs""]",120000,False,"["" came""]",110000,False,"["" out""]",prefix
3,540,540,True,[],540,True,"[""So""]",540,True,"[""=""]",540,True,"[""<<""]",540,True,"[""6""]",540,True,"[""*""]",540,True,"["" sprint""]",9,False,"[""####""]",540,True,"[""0""]",540,True,"["" he""]",540,True,"["" times""]",greedy_ig
3,540,540,True,[],540,True,"[""*""]",540,True,"[""He""]",540,True,"["" sprint""]",540,True,"[""s""]",540,True,"[""3""]",540,True,"[""*""]",540,True,"[""3""]",540,True,"[""=""]",540,True,"[""<<""]",540,True,"[""3""]",prefix
4,20,20,True,[],20,True,"["" the""]",20,True,"["" morning""]",20,True,"[""If""]",20,True,"["" require""]",20,True,"["" cups""]",20,True,"["" per""]",20,True,"[""6""]",20,True,"[""1""]",20,True,"["" chicken""]",20,True,"["" feed""]",greedy_ig
4,20,20,True,[],20,True,"["" day""]",20,True,"[""If""]",20,True,"["" each""]",20,True,"["" chicken""]",20,True,"["" eats""]",20,True,"[""3""]",20,True,"["" cups""]",20,True,"["" of""]",20,True,"["" feed""]",20,True,"["" per""]",prefix
5,64,64,True,[],54,False,"["",""]",64,True,"[""yl""]",24,False,"[""/""]",24,False,"["" is""]",29,False,"["" for""]",80,False,"["" of""]",24,False,"["" glasses""]",29,False,"[""The""]",54,False,"[""5""]",54,False,"[""4""]",greedy_ig
5,64,64,True,[],64,True,"[""/""]",24,False,"[""The""]",64,True,"["" discount""]",44,False,"["" price""]",24,False,"["" of""]",24,False,"["" one""]",80,False,"["" glass""]",64,True,"["" is""]",48,False,"[""6""]",84,False,"[""0""]",prefix
6,260,260,True,[],260,True,"["" has""]",260,True,"["" <<""]",260,True,"["" Charleston""]",260,True,"[""2""]",260,True,"[""0""]",260,True,"[""2""]",260,True,"["">>""]",260,True,"[""6""]",260,True,"[""oul""]",260,True,"[""2""]",greedy_ig
6,260,260,True,[],260,True,"[""4""]",260,True,"[""If""]",260,True,"["" Seattle""]",260,True,"["" has""]",260,True,"[""2""]",260,True,"[""0""]",260,True,"["" sheep""]",260,True,"["",""]",260,True,"["" Charleston""]",260,True,"["" has""]",prefix
7,160,100,False,[],100,False,"[""arts""]",80,False,"["" /""]",100,False,"["">>""]",60,False,"["" find""]",60,False,"["" <<""]",60,False,"[""%""]",60,False,"[""4""]",60,False,"["" the""]",100,False,"[""1""]",100,False,"["" many""]",greedy_ig
7,160,100,False,[],60,False,"[""0""]",100,False,"[""First""]",120,False,"["" find""]",100,False,"["" how""]",100,False,"["" many""]",100,False,"["" gig""]",100,False,"[""abytes""]",100,False,"["" are""]",first find how many gigabytes are in the first part,False,"["" in""]",100,False,"[""4""]",prefix
8,45,210,False,[],435,False,"["" goes""]",350,False,"[""<<""]",275,False,"["" miles""]",275,False,"[""In""]",355,False,"[""*.""]",370,False,"[""1""]",355,False,"[""3""]",435,False,"[""2""]",435,False,"["" an""]",435,False,"[""8""]",greedy_ig
8,45,210,False,[],120,False,"[""0""]",290,False,"[""When""]",120,False,"["" he""]",370,False,"["" turned""]",290,False,"["" around""]",200,False,"["" he""]",120,False,"["" was""]",120,False,"[""3""]",120,False,"[""*""]",110,False,"[""6""]",prefix
9,460,460,True,[],460,True,"[""6""]",460,True,"["">>""]",460,True,"[""Her""]",460,True,"[""=""]",460,True,"["" =""]",460,True,"["" will""]",460,True,"[""4""]",460,True,"["">>""]",460,True,"[""0""]",460,True,"[""0""]",greedy_ig
9,460,460,True,[],460,True,"[""0""]",460,True,"[""El""]",460,True,"[""iza""]",420,False,"["" is""]",460,True,"["" entitled""]",460,True,"["" to""]",460,True,"[""4""]",460,True,"[""5""]",460,True,"["" -""]",4460,False,"[""4""]",prefix
10,366,402,False,[],348,False,"[""1""]",366,True,"["" <<""]",366,True,"["" of""]",366,True,"["">>""]",348,False,"[""8""]",348,False,"[""0""]",348,False,"["",""]",348,False,"[""8""]",348,False,"[""1""]",348,False,"["" downloads""]",greedy_ig
10,366,402,False,[],420,False,"["" second""]",366,True,"[""The""]",360,False,"["" number""]",366,True,"["" of""]",360,False,"["" downloads""]",426,False,"["" of""]",390,False,"["" the""]",414,False,"["" program""]",420,False,"["" in""]",426,False,"["" the""]",prefix
11,694,694,True,[],694,True,"[""6""]",694,True,"["" $<<""]",694,True,"["" the""]",694,True,"[""2""]",694,True,"[""0""]",694,True,"[""0""]",694,True,"["" x""]",694,True,"[""The""]",694,True,"["" chees""]",694,True,"["" $""]",greedy_ig
11,694,694,True,[],694,True,"["" x""]",694,True,"[""The""]",69,False,"["" total""]",694,True,"["" charge""]",694,True,"["" for""]",694,True,"["" the""]",694,True,"["" dough""]",694,True,"[""nuts""]",694,True,"["" was""]",694,True,"[""3""]",prefix
12,13,5,False,[],12,False,"[""1""]",10,False,"["" <<""]",13,True,"[""9""]",12,False,"["" because""]",12,False,"["" -""]",12,False,"["".""]",12,False,"["" tree""]",12,False,"[""2""]",12,False,"["" each""]",12,False,"[""7""]",greedy_ig
12,13,5,False,[],1,False,"["" each""]",5,False,"[""He""]",10,False,"["" makes""]",5,False,"["" $""]",9,False,"[""1""]",10,False,"[""0""]",9,False,"["".""]",12,False,"[""5""]",12,False,"["" selling""]",5,False,"["" lemons""]",prefix
13,18,15,False,[],11,False,"["" with""]",11,False,"["" started""]",11,False,"[""2""]",10,False,"["" house""]",10,False,"["" to""]",10,False,"[""3""]",9,False,"["",""]",11,False,"[""1""]",11,False,"[""2""]",11,False,"["" red""]",greedy_ig
13,18,15,False,[],27,False,"["" to""]",15,False,"[""First""]",18,True,"["" multiply""]",12,False,"["" the""]",24,False,"["" five""]",27,False,"["" remaining""]",27,False,"["" vacuum""]",27,False,"["" cleaners""]",21,False,"["" by""]",24,False,"["" two""]",prefix
14,60,40,False,[],12,False,"["" either""]",60,True,"["" <<""]",50,False,"["" contemporary""]",12,False,"["" jazz""]",12,False,"[""There""]",50,False,"[""/""]",12,False,"["" hip""]",12,False,"[""-""]",12,False,"[""-hop""]",12,False,"["" x""]",greedy_ig
14,60,40,False,[],50,False,"[""0""]",40,False,"[""There""]",40,False,"["" are""]",40,False,"[""2""]",50,False,"[""0""]",50,False,"["" x""]",50,False,"[""2""]",50,False,"[""0""]",50,False,"[""/""]",50,False,"[""1""]",prefix
15,125,1000,False,[],96,False,"[""If""]",125,True,"["" $<<""]",221,False,"[""%""]",250,False,"["" is""]",125,True,"[""/""]",125,True,"[""%""]",125,True,"["">>""]",125,True,"["" $""]",96,False,"["" $""]",96,False,"[""5""]",greedy_ig
15,125,1000,False,[],125,True,"["" profit""]",125,True,"[""If""]",125,True,"["" he""]",125,True,"["" purchases""]",175,False,"["" jewelry""]",125,True,"["",""]",125,True,"["" he""]",125,True,"["" will""]",1250,False,"["" make""]",125,True,"["" a""]",prefix
16,230,230,True,[],310,False,"[""6""]",230,True,"["" =""]",230,True,"[""0""]",330,False,"["".""]",230,True,"[""8""]",230,True,"["" covered""]",230,True,"[""0""]",230,True,"[""0""]",230,True,"[""0""]",300,False,"["" the""]",greedy_ig
16,230,230,True,[],80,False,"["" trains""]",230,True,"[""On""]",230,True,"["" the""]",230,True,"["" first""]",230,True,"["" day""]",230,True,"["",""]",150,False,"["" the""]",150,False,"["" trains""]",150,False,"["" covered""]",210,False,"[""2""]",prefix
17,57500,77500,False,[],1150,False,"["" total""]",11500,False,"["">>""]",11500,False,"["" $<<""]",7450,False,"[""1""]",11500,False,"[""1""]",12500,False,"["":""]",1150,False,"["" two""]",1150,False,"[""/week""]",1150,False,"[""0""]",1150,False,"["" amount""]",greedy_ig
17,57500,77500,False,[],57500,True,"["" teaching""]",37500,False,"[""First""]",57500,True,"["" find""]",92500,False,"["" the""]",77500,False,"["" total""]",97500,False,"["" amount""]",77500,False,"["" Jill""]",92500,False,"["" makes""]",57500,True,"["" per""]",57500,True,"["" week""]",prefix
