candidate_position,candidate_token_id,candidate_token_text,current_anchors,example_id,information_gain,p_gt_gain,step
0,18315,Jan,[],0,84.79666757583618,0.10213925097441745,1
1,295,et,[],0,54.72114896774292,0.0684504338234575,1
2,30778, sells,[],0,135.99172711372375,0.065343898685299,1
4,16,1,[],0,54.27609205245972,0.11902919637823572,1
5,21,6,[],0,59.033968925476074,0.09467414486898917,1
6,481, -,[],0,64.60185146331787,0.13359956192944367,1
8,18,3,[],0,64.07228803634644,0.10590155299014725,1
9,481, -,[],0,65.70350646972656,0.13069591689982474,1
11,19,4,[],0,56.01986122131348,0.11493040321347792,1
12,284, =,[],0,66.0520167350769,0.12528950629889835,1
13,1115, <<,[],0,67.6668291091919,0.08600200577230055,1
14,16,1,[],0,55.09246253967285,0.12288736457544758,1
15,21,6,[],0,64.63952350616455,0.08772474445750333,1
16,12,-,[],0,45.90523290634155,0.08246665717383905,1
17,18,3,[],0,67.08416557312012,0.11043988928641113,1
18,12,-,[],0,48.27247619628906,0.09103126897748837,1
19,19,4,[],0,64.87770891189575,0.12807712519720837,1
20,28,=,[],0,81.29459023475647,0.08285064278557286,1
21,24,9,[],0,49.88089847564697,0.08051657814640123,1
22,2452,>>,[],0,56.59077262878418,0.12003479597036915,1
23,24,9,[],0,48.28390598297119,0.08837276066306288,1
24,35985, duck,[],0,64.71230936050415,0.08490691604647793,1
25,18805, eggs,[],0,52.87191867828369,0.05672164384823475,1
26,264, a,[],0,58.84933137893677,0.09563624218090183,1
27,1899, day,[],0,70.60503244400024,0.0936164440560816,1
28,624,".
",[],0,63.06485652923584,0.09937054037364135,1
29,7941,She,[],0,134.91484117507935,0.04083651886453765,1
30,3643, makes,[],0,102.1873140335083,0.15052575498653198,1
32,24,9,[],0,50.16653537750244,0.08234301935063115,1
33,353, *,[],0,63.35773706436157,0.09949673799469849,1
35,17,2,[],0,67.13795757293701,0.12451754813510263,1
36,284, =,[],0,65.81487321853638,0.12630181260301754,1
37,400, $,[],0,73.71523141860962,0.16284814789271707,1
38,2442,<<,[],0,63.493720054626465,0.0808443554170708,1
39,24,9,[],0,48.28390598297119,0.08710577371103057,1
