k,mean_information_gain,mean_p_gt_gain,mean_score_after,n
1,144.05942004621028,0.9708290839839908,0.01472944557477202,20
2,48.60225197225809,-0.03550262789670881,0.014089981997121637,20
3,24.37943196296692,-0.003696378739257966,0.014231119071516207,20
4,6.536685187742114,0.16606009064333807,0.015626100476374694,20
5,6.122487973049283,-0.025834717826382813,0.015530022072171098,20
6,3.716834470257163,0.0992288355486853,0.0164348202681282,20
7,2.840608385298401,0.04379154683653545,0.01681477446274556,20
8,4.316906491946429,-0.043982471821474654,0.016601194545806573,20
9,5.136138934828341,0.017764326552287574,0.0167556772248516,20
10,3.043141153175384,-0.0798746156808459,0.015895943467584342,20
