candidate_position,candidate_token_id,candidate_token_text,current_anchors,example_id,information_gain,p_gt_gain,step
0,262,   ,[],HumanEval/0,8.274153709411621,0.00892423049788249,1
1,369, for,[],HumanEval/0,11.435146808624268,0.15949261551554628,1
2,7187, idx,[],HumanEval/0,8.431456565856934,0.17441753278205852,1
3,11,",",[],HumanEval/0,0.28661012649536133,-0.012217509077004252,1
4,11750, elem,[],HumanEval/0,2.200779438018799,0.1487985677908341,1
5,304, in,[],HumanEval/0,-2.898678779602051,0.1848372252782724,1
6,13252, enumerate,[],HumanEval/0,4.000128746032715,0.04719053317523958,1
7,47207,(numbers,[],HumanEval/0,0.8494720458984375,0.16424162799518172,1
8,982,"):
",[],HumanEval/0,6.95125675201416,0.004503088554429269,1
9,286,       ,[],HumanEval/0,-4.044824123382568,0.11314421872430103,1
10,369, for,[],HumanEval/0,7.865682601928711,8.521514087078685e-05,1
11,7187, idx,[],HumanEval/0,11.019745826721191,0.1282375638061808,1
12,17,2,[],HumanEval/0,0.989743709564209,0.2403522252463972,1
13,11,",",[],HumanEval/0,-4.011983871459961,-0.052148142340797676,1
14,11750, elem,[],HumanEval/0,12.589067459106445,0.0072299418397960835,1
15,17,2,[],HumanEval/0,1.7813196182250977,0.15151756722877963,1
16,304, in,[],HumanEval/0,10.545562744140625,-0.0035978460747401186,1
17,13252, enumerate,[],HumanEval/0,-12.00081491470337,0.1329667394224714,1
18,47207,(numbers,[],HumanEval/0,-3.8880248069763184,0.1494872284707185,1
19,982,"):
",[],HumanEval/0,-9.97594404220581,-0.04381006678624999,1
20,310,           ,[],HumanEval/0,1.1041245460510254,0.17190881898693533,1
21,421, if,[],HumanEval/0,12.995031833648682,0.008100588463889835,1
22,7187, idx,[],HumanEval/0,-5.918907642364502,0.16236100590987235,1
23,961, !=,[],HumanEval/0,13.376818180084229,0.015881895869824803,1
24,7187, idx,[],HumanEval/0,9.394795417785645,-0.009614153036864082,1
25,17,2,[],HumanEval/0,0.04844951629638672,0.1147541659684066,1
26,510,":
",[],HumanEval/0,-3.5539345741271973,0.11390634841870906,1
27,394,               ,[],HumanEval/0,-4.759751796722412,0.09685868009017895,1
28,6010, distance,[],HumanEval/0,-2.2091641426086426,0.17169416509537427,1
29,284, =,[],HumanEval/0,-7.623950481414795,0.08831324109792149,1
30,3647, abs,[],HumanEval/0,3.3492746353149414,-0.012784577736852043,1
31,28880,(elem,[],HumanEval/0,0.6907978057861328,0.15645525333616206,1
32,481, -,[],HumanEval/0,0.5921711921691895,0.12255256299206962,1
33,11750, elem,[],HumanEval/0,13.101587295532227,0.025627253704556097,1
34,17,2,[],HumanEval/0,12.722280979156494,0.0033708029141052975,1
35,340,")
",[],HumanEval/0,2.600539207458496,-0.0193549393600847,1
36,394,               ,[],HumanEval/0,-2.4431076049804688,0.14135559213087845,1
37,421, if,[],HumanEval/0,-0.579063892364502,-0.03854407592928055,1
38,6010, distance,[],HumanEval/0,-4.868198394775391,0.1460098531829317,1
39,366, <,[],HumanEval/0,-2.559359073638916,0.16250411043267832,1
40,12171, threshold,[],HumanEval/0,-15.974982738494873,0.0448007475648069,1
41,510,":
",[],HumanEval/0,-17.646247386932373,0.04847705851767614,1
42,503,                   ,[],HumanEval/0,1.0541648864746094,0.201601133462475,1
43,470, return,[],HumanEval/0,0.21869230270385742,0.024117349354412454,1
44,3007, True,[],HumanEval/0,-10.916046619415283,0.0754572203119892,1
45,271,"

",[],HumanEval/0,-7.7072930335998535,0.16572583743010227,1
46,262,   ,[],HumanEval/0,11.859298706054688,0.0013022666490769552,1
47,470, return,[],HumanEval/0,-1.1821374893188477,0.21761188826590683,1
48,3557, False,[],HumanEval/0,-6.72390079498291,-0.0078096227559854015,1
0,262,   ,[23],HumanEval/0,-0.3086972236633301,0.000718476107749666,2
1,369, for,[23],HumanEval/0,-8.35746431350708,0.19070217373496234,2
2,7187, idx,[23],HumanEval/0,-3.079465866088867,0.07333864964402892,2
3,11,",",[23],HumanEval/0,-12.402584075927734,-0.015636811482181656,2
4,11750, elem,[23],HumanEval/0,-9.226746559143066,0.1979455181457297,2
5,304, in,[23],HumanEval/0,-1.4037742614746094,-0.015189755634878566,2
6,13252, enumerate,[23],HumanEval/0,-18.919734477996826,-0.01984142472952044,2
7,47207,(numbers,[23],HumanEval/0,-13.867526054382324,-0.028377728185887463,2
8,982,"):
",[23],HumanEval/0,-3.8224754333496094,0.01822462812287995,2
9,286,       ,[23],HumanEval/0,-3.049497127532959,-0.015282748846971117,2
10,369, for,[23],HumanEval/0,-9.822332859039307,-0.014350193708764891,2
11,7187, idx,[23],HumanEval/0,-6.042908668518066,-0.001150949342900276,2
12,17,2,[23],HumanEval/0,-2.8331756591796875,0.11090223080975647,2
13,11,",",[23],HumanEval/0,-23.22634267807007,-0.03704067401122302,2
14,11750, elem,[23],HumanEval/0,-4.854556083679199,0.018784362200790383,2
15,17,2,[23],HumanEval/0,-0.8094906806945801,-0.01527746419117193,2
16,304, in,[23],HumanEval/0,-8.839444160461426,-0.01201271386537428,2
17,13252, enumerate,[23],HumanEval/0,-6.5390305519104,0.013857690262739197,2
18,47207,(numbers,[23],HumanEval/0,-3.2797293663024902,-0.003864412038979026,2
19,982,"):
",[23],HumanEval/0,-14.305378437042236,-0.027787773501813717,2
20,310,           ,[23],HumanEval/0,-14.199599266052246,0.13331364362608156,2
