k,mean_information_gain,mean_p_gt_gain,mean_score_after,n
1,25.538879024982453,0.13587771341687577,0.013856131801277944,20
2,3.2731563806533814,0.048082965347767105,0.012793673765953079,20
3,2.3749563932418822,0.0006342633026941158,0.012330076516123622,20
4,3.005881428718567,0.014706037420389695,0.013565779014340978,20
5,1.1522991418838502,0.03591881618060748,0.016836005008260328,20
6,0.7564588785171509,0.02128509993963208,0.018340518139291013,20
7,0.7460056900978088,0.01903356714519768,0.013356137591768378,20
8,1.485848559273614,0.03059156704245976,0.01736580531218953,18
9,2.0384793943829007,0.007352829355047972,0.01544624158462108,18
10,0.9774772855970595,0.003024262192408441,0.015390148263019836,18
