k,layout,mean_information_gain,mean_p_gt_gain,mean_score_after,mean_score_before,n
1,greedy_ig,24.71298280954361,0.13619075995812402,0.01387454630370431,0.007427721654037936,20
2,greedy_ig,28.124654376506804,0.1674079162485552,0.012791734804347973,0.007223526648644528,20
3,greedy_ig,29.7454931139946,0.1647288063355581,0.012225972970836534,0.0075398540972472115,20
4,greedy_ig,30.613942682743073,0.194409523806564,0.01467531281065482,0.00748032608874756,20
5,greedy_ig,32.557544434070586,0.21146413074770587,0.018216356569735234,0.008012991076874098,20
6,greedy_ig,32.841538321971896,0.24343484622655306,0.02090655193522652,0.007699470622209693,20
7,greedy_ig,33.2825670003891,0.25264478993765627,0.016221556976368044,0.007858555097187372,20
8,greedy_ig,37.304057916005455,0.301809690583235,0.01776430925021293,0.00786384960872423,18
9,greedy_ig,37.80640350447761,0.2948782788143673,0.01597278731808488,0.007150990556439617,18
10,greedy_ig,-0.14270938767327201,0.18695180151685914,0.012074450122081918,0.007398143588164606,18
1,maximally_separated,14.764237582683563,0.10167086085425651,0.011914444868206978,0.0075936294213213625,20
2,maximally_separated,13.513476598262788,0.07602585495405005,0.007277606979669171,0.005474636222568873,20
3,maximally_separated,12.143368875980377,0.08663867461981489,0.007774132312905897,0.00569316605067909,20
4,maximally_separated,10.494082057476044,0.08275490818893942,0.009683379527778115,0.0053677887320739545,20
5,maximally_separated,11.30849186182022,0.11830138561040186,0.01129932764674522,0.005669101580938701,20
6,maximally_separated,14.429486405849456,0.10677705213886206,0.011228420950522618,0.005470868125379748,20
7,maximally_separated,12.519177210330962,0.10449933255809932,0.01041222072684563,0.006068787006760431,20
8,maximally_separated,11.499078604910109,0.1712927209179765,0.013804997490041722,0.005772486573565036,18
9,maximally_separated,13.299738658799065,0.1819714825525346,0.012026729955398717,0.00574669782110069,18
10,maximally_separated,0.4349031580819024,0.13076187547644955,0.011595523125422042,0.00622228123926653,18
1,middle_cluster,13.022193503379821,0.10068748561154912,0.011911842579257691,0.007538586934586635,20
2,middle_cluster,13.273193049430848,0.10566193921617514,0.011861038243721835,0.007921654545165824,20
3,middle_cluster,12.949959635734558,0.11224253238505551,0.015175322185608395,0.007987986322221911,20
4,middle_cluster,11.975776672363281,0.1088826656920645,0.01603821752722804,0.008502077768372472,20
5,middle_cluster,11.01740746498108,0.08523388615967065,0.015837596532133853,0.00925883755563757,20
6,middle_cluster,13.435705494880676,0.06985974922278829,0.009885867822952229,0.007447705543757334,20
7,middle_cluster,9.114168643951416,0.07343716183482699,0.011615016116821437,0.008180568157323504,20
8,middle_cluster,10.386070119010078,0.09803258336491262,0.012070505046790761,0.008302142359204916,18
9,middle_cluster,10.326064692603218,0.08792956216471105,0.011847891823867212,0.008676781013063213,18
10,middle_cluster,11.349096801545885,0.08803709155671886,0.012673957501889037,0.009436606983809402,18
1,prefix,14.737990605831147,0.08005376648611015,0.007034321627232683,0.005260083348708451,20
2,prefix,15.125685584545135,0.07528936452366822,0.007058182482410159,0.005372783008032364,20
3,prefix,9.299775278568267,0.07907435414808539,0.007058807357257767,0.0056023122999121575,20
4,prefix,9.331744515895844,0.06637612878070556,0.007280123641276367,0.00589544525740605,20
5,prefix,12.15393568277359,0.1019327275227436,0.010149511312846674,0.0054596868932859696,20
6,prefix,13.22259143590927,0.10410297283871728,0.009267235954792554,0.00539311153636157,20
7,prefix,12.530997121334076,0.07220978858241053,0.008014219222901468,0.006004657895750434,20
8,prefix,16.845855567190384,0.11090684442499803,0.008621248906207385,0.005606831637944468,18
9,prefix,17.15243767367469,0.11438829343153697,0.008481803581307587,0.005698224887337021,18
10,prefix,15.800832470258078,0.10779777659857359,0.009174748747699938,0.005846387558422724,18
1,suffix,10.828874790668488,0.08223684846845583,0.01013994687784787,0.007586518140097568,20
2,suffix,12.772716581821442,0.11284371328890383,0.011765787121079018,0.0076880639168271665,20
3,suffix,13.122985875606537,0.10602839476519747,0.011462658148238757,0.007592755482260456,20
4,suffix,14.490811431407929,0.0994561956142049,0.012734421585426406,0.008218129422060582,20
5,suffix,13.461759197711945,0.09260409917917603,0.013590650382892592,0.00922391249476662,20
6,suffix,12.687061405181884,0.0967717438886961,0.020093269139364118,0.01140512401718088,20
7,suffix,11.637421405315399,0.07578622481672567,0.011821969063679305,0.008121224606412543,20
8,suffix,12.56921735074785,0.08652977698726892,0.0121918648707001,0.00814519387707464,18
9,suffix,12.128705514801872,0.09705785010034834,0.013739646956510003,0.008539821259790584,18
10,suffix,12.19352145989736,0.09105040241300975,0.014586540950450977,0.009226095098172396,18
