candidate_position,candidate_token_id,candidate_token_text,current_anchors,example_id,information_gain,p_gt_gain,step
0,117603,Janet,[],0,7.471416175365448,1.0438176806414958,1
1,31310, sells,[],0,41.316848039627075,4.83432162481904,1
3,16,1,[],0,26.564722038805485,3.791319187575482,1
4,21,6,[],0,26.719704404473305,3.751683323787347,1
5,537, -,[],0,67.78714663907886,8.221022299784181,1
7,18,3,[],0,32.31142783164978,6.175008214717309,1
8,537, -,[],0,46.07383172214031,4.591685286237862,1
10,19,4,[],0,31.121033877134323,5.592961833232948,1
11,373, =,[],0,47.6878033131361,7.755549719904138,1
12,3585, <<,[],0,113.5856452845037,18.861527869486054,1
13,16,1,[],0,14.528333008289337,1.7043813369364216,1
14,21,6,[],0,18.970212876796722,2.5382396334305213,1
15,12,-,[],0,17.97293072938919,1.9769525802976204,1
16,18,3,[],0,16.09307152032852,1.813545632546493,1
17,12,-,[],0,19.28764545917511,1.763923682376003,1
18,19,4,[],0,16.16576886177063,0.805555104632731,1
19,28,=,[],0,83.75690741837025,13.468079155147507,1
20,24,9,[],0,4.853640913963318,0.5571585694719943,1
21,5284,>>,[],0,87.22923627495766,10.923299757111067,1
22,24,9,[],0,10.43596363067627,0.49126196647011966,1
23,39111, duck,[],0,11.60196590423584,1.663451133994613,1
24,16832, eggs,[],0,14.422192513942719,0.4176819072708895,1
25,259, a,[],0,5.78729772567749,0.9604086247345549,1
26,1813, day,[],0,24.749805450439453,3.149301532490881,1
27,13,.,[],0,20.545799911022186,2.2207685581913665,1
29,6572,She,[],0,44.541895466391,2.7084632508556297,1
30,3524, makes,[],0,54.066346287727356,5.658283227463471,1
32,24,9,[],0,3.0442277789115906,1.3398023051668133,1
33,500, *,[],0,65.22006982564926,7.588199943170366,1
35,17,2,[],0,12.484559834003448,1.990644784625374,1
36,373, =,[],0,23.613519608974457,4.456003790380237,1
37,101889, $<<,[],0,73.08054265379906,13.71005034689233,1
38,24,9,[],0,19.717875599861145,1.0381005625804391,1
39,9,*,[],0,35.845621824264526,3.142937177436977,1
40,17,2,[],0,16.157470047473907,0.3820104192066083,1
41,28,=,[],0,52.09312081336975,7.133330147919196,1
42,16,1,[],0,-7.887306571006775,-0.3019449610249012,1
43,23,8,[],0,9.600992023944855,0.7614954177437312,1
44,5284,>>,[],0,79.55614736676216,12.400823961489436,1
45,16,1,[],0,-7.221076965332031,-0.13735440148479938,1
46,23,8,[],0,-0.6157947182655334,0.3791110439201475,1
47,1380, every,[],0,33.80515085160732,3.28697327188479,1
48,1813, day,[],0,33.57026523351669,1.7233655942659425,1
49,482, at,[],0,5.664968311786652,3.170711295284491,1
50,268, the,[],0,5.157997667789459,1.4878042540058232,1
51,36512, farmer,[],0,2.2248536944389343,4.778830327426476,1
52,601,’s,[],0,8.584065079689026,0.7075916188205156,1
53,2201, market,[],0,13.187985241413116,4.108583614504823,1
54,13,.,[],0,-18.522622227668762,0.9333022660557617,1
56,2262,####,[],0,18.643757042940706,3.3487027994135303,1
58,16,1,[],0,-5.388336658477783,0.20946951681798964,1
59,23,8,[],0,-17.78108286857605,-0.013189221350330627,1
0,117603,Janet,[12],0,-0.26178592443466187,0.6360676451365634,2
1,31310, sells,[12],0,18.056293938774616,2.4539172889850533,2
3,16,1,[12],0,12.113933069165796,2.480668367008434,2
4,21,6,[12],0,13.346906968625262,2.5650275870108317,2
5,537, -,[12],0,16.80868913116865,2.5209914555697424,2
7,18,3,[12],0,10.900218754075468,1.8043006843510057,2
8,537, -,[12],0,-1.6253036530688405,0.14260265541508943,2
10,19,4,[12],0,6.287049774080515,1.2861104728079908,2
11,373, =,[12],0,2.7341038417071104,1.0785821305242962,2
13,16,1,[12],0,1.4431353509426117,0.6851909210826648,2
14,21,6,[12],0,1.1645103631308302,0.42412917770252534,2
15,12,-,[12],0,0.8149761988315731,-1.2137195191249361,2
16,18,3,[12],0,7.6070984186953865,1.3317418293091805,2
17,12,-,[12],0,15.143912099709269,2.407511997340862,2
18,19,4,[12],0,10.364686886314303,2.218347542383981,2
19,28,=,[12],0,10.452807392110117,2.701832870427779,2
20,24,9,[12],0,17.12036057689693,1.9074354485835556,2
21,5284,>>,[12],0,5.444864252582192,1.2169120068879238,2
22,24,9,[12],0,16.353197006043047,1.5872089420004158,2
23,39111, duck,[12],0,7.927200539037585,3.095916348273363,2
24,16832, eggs,[12],0,-2.1128754764795303,-0.4179752829439849,2
25,259, a,[12],0,13.506333880126476,3.3962708603338,2
26,1813, day,[12],0,25.224141063168645,5.276754125054481,2
27,13,.,[12],0,20.450718762353063,3.3436667230747616,2
29,6572,She,[12],0,24.082021762733348,4.353231417213294,2
30,3524, makes,[12],0,30.484552470967174,3.5930365391380406,2
32,24,9,[12],0,25.456207122653723,8.107748912770148,2
33,500, *,[12],0,29.64318846631795,4.654910168090851,2
35,17,2,[12],0,24.03701576218009,6.470754411658277,2
36,373, =,[12],0,28.19680909998715,8.327047031786037,2
37,101889, $<<,[12],0,25.823428542353213,7.320666480453497,2
38,24,9,[12],0,31.660555090755224,10.132279461269036,2
39,9,*,[12],0,11.922928402200341,3.679147022219013,2
40,17,2,[12],0,13.96650535799563,2.941445375188664,2
41,28,=,[12],0,18.38070316053927,4.663648995097901,2
42,16,1,[12],0,2.3841419480741024,-2.805433783094088,2
43,23,8,[12],0,3.5157609917223454,1.47624370918669,2
44,5284,>>,[12],0,25.85548798367381,6.034088305985847,2
45,16,1,[12],0,5.938701119273901,1.490862063135637,2
46,23,8,[12],0,-2.842138957232237,-0.14365730260283271,2
47,1380, every,[12],0,27.823016392067075,6.130793805228677,2
48,1813, day,[12],0,27.140293262898922,5.831801055088135,2
49,482, at,[12],0,20.025822959840298,5.304531525323,2
50,268, the,[12],0,16.74936130270362,3.791590431423174,2
51,36512, farmer,[12],0,8.059343080967665,4.856959730129347,2
52,601,’s,[12],0,12.637944888323545,-0.33691959119676085,2
53,2201, market,[12],0,8.7727355286479,5.3444409501435075,2
54,13,.,[12],0,-15.129161935299635,1.3004479118726522,2
56,2262,####,[12],0,-0.7706186156719923,2.6219318160011738,2
58,16,1,[12],0,-34.16046817973256,-2.820309208846993,2
59,23,8,[12],0,-86.75806739553809,-12.225140396883944,2
0,117603,Janet,"[12, 38]",0,1.2035204954445362,-0.08136004118955498,3
1,31310, sells,"[12, 38]",0,14.973986499244347,1.1618788804019005,3
3,16,1,"[12, 38]",0,16.73478154465556,2.4490486647604257,3
4,21,6,"[12, 38]",0,16.639907978649717,2.4333423217391896,3
5,537, -,"[12, 38]",0,21.911884667584673,3.468639188835482,3
7,18,3,"[12, 38]",0,7.492377721006051,1.2840866635694965,3
8,537, -,"[12, 38]",0,4.66214964305982,1.0124160807235967,3
10,19,4,"[12, 38]",0,7.053247433155775,0.8799253574026125,3
11,373, =,"[12, 38]",0,2.8646626230329275,0.27066449677136006,3
13,16,1,"[12, 38]",0,1.3623259062878788,-0.2592634326942971,3
14,21,6,"[12, 38]",0,0.45493291184538975,-0.16746559762145807,3
15,12,-,"[12, 38]",0,10.342410223616753,1.2124471955888794,3
16,18,3,"[12, 38]",0,7.095243728967034,0.9394705275660158,3
17,12,-,"[12, 38]",0,19.456022583763115,2.9310908551361763,3
18,19,4,"[12, 38]",0,9.132740299683064,0.7624397384960275,3
19,28,=,"[12, 38]",0,12.836603053263389,1.587274120476991,3
20,24,9,"[12, 38]",0,7.283620187081397,0.4723664485071595,3
21,5284,>>,"[12, 38]",0,15.738499843748286,1.6796088982412698,3
22,24,9,"[12, 38]",0,11.857610194943845,1.449399135021281,3
23,39111, duck,"[12, 38]",0,10.53157461900264,2.5700595343166697,3
24,16832, eggs,"[12, 38]",0,1.2398033030331135,1.2430985345351928,3
25,259, a,"[12, 38]",0,-12.966205440461636,-3.874355780468477,3
26,1813, day,"[12, 38]",0,20.075434111058712,4.303421913667535,3
27,13,.,"[12, 38]",0,22.11549691017717,5.403162238456844,3
29,6572,She,"[12, 38]",0,26.21632895016228,5.504234193398929,3
30,3524, makes,"[12, 38]",0,27.20578463561833,4.340549286727537,3
32,24,9,"[12, 38]",0,19.456340486183763,4.471889719144883,3
33,500, *,"[12, 38]",0,22.838600357063115,5.310747930117714,3
35,17,2,"[12, 38]",0,11.19074116460979,2.126708784271841,3
