k,mean_information_gain,mean_p_gt_gain,mean_score_after,n
1,105.34281323880423,9.161352046499783,0.14140645189851286,20
2,66.60133640198437,5.957372239479917,0.20895686854562387,20
3,44.57601490488851,4.438181311963464,0.2531308798888223,20
4,36.41161347224943,6.187610494125988,0.3063872549314012,20
5,25.59929325583853,4.436041010344815,0.34255081685348665,20
6,18.204199695132026,2.823386688740725,0.37204074363756806,20
7,9.78054755410668,1.2410629401025814,0.3840835819797467,20
8,7.575549363346897,0.9675553206094749,0.3908366102430921,20
9,6.08958956235981,1.1651227309755043,0.39770731776754176,20
10,2.209551285344787,1.0702801315812864,0.4050294041983505,20
