k,layout,mean_information_gain,mean_p_gt_gain,mean_score_after,mean_score_before,n
1,greedy_ig,105.34281323880423,9.161352046499783,0.14140645189851286,0.04760324853845929,20
2,greedy_ig,171.17944400667147,15.080207787697585,0.20895686854562387,0.04770126863558177,20
3,greedy_ig,214.78224161495964,19.40033883475085,0.2531308798888223,0.04796699662050479,20
4,greedy_ig,249.30490433574332,25.32032173853302,0.3063872549314012,0.04785887809388635,20
5,greedy_ig,273.08585835149654,29.443632804730804,0.34255081685348665,0.04748377250032807,20
6,greedy_ig,289.60562291349316,31.9447123874083,0.37204074363756806,0.047615186778329724,20
7,greedy_ig,297.03526378174365,32.71643493903976,0.3840835819797467,0.047715542927757884,20
8,greedy_ig,302.23829393375917,33.19469781801042,0.3908366102430921,0.0476052229310789,20
9,greedy_ig,305.4551973651071,33.69360596878047,0.39770731776754176,0.04761962657300032,20
10,greedy_ig,305.10900989389035,34.281116596653206,0.4050294041983505,0.047277996840469724,20
1,maximally_separated,28.846817331854254,2.2893992280396502,0.07106517566247486,0.04738049110364277,20
2,maximally_separated,-22.06425661696121,1.6959012039304575,0.06172982549291485,0.04555398310988314,20
3,maximally_separated,-0.441675075981766,4.0398198631804405,0.08368104420611883,0.04561588379473018,20
4,maximally_separated,37.668801994563545,8.711975348917345,0.13009428671109075,0.04587118912680321,20
5,maximally_separated,57.22114827858168,11.01690303941278,0.18131858217745714,0.04555831751026522,20
6,maximally_separated,98.31819305836908,18.218345336773954,0.25512956386366537,0.045478566202645496,20
7,maximally_separated,122.08484348467319,21.56297950168496,0.2818497507035548,0.045596352383323865,20
8,maximally_separated,124.04467983483346,23.807621805967475,0.3174024353163669,0.04614043502968785,20
9,maximally_separated,169.2794088808834,31.630734004288577,0.3913111216629822,0.045761776848515706,20
10,maximally_separated,179.0136773525006,37.06959942712042,0.4448705752352452,0.04651845996062601,20
1,middle_cluster,21.255361836147493,1.840728576730185,0.06507403493421463,0.04725321445684822,20
2,middle_cluster,27.625787531747484,2.6886361837512043,0.07556491694458381,0.047275525972396974,20
3,middle_cluster,45.97109390689875,4.395067887190388,0.09148508659111651,0.0474467943338354,20
4,middle_cluster,46.426706687972185,4.625880612683759,0.09276567864417104,0.04752880555862267,20
5,middle_cluster,54.17313046521085,6.061117428078613,0.10590366886258358,0.04773372267874616,20
6,middle_cluster,58.825760466870996,6.381759480042368,0.10967934558541428,0.047976429714382825,20
7,middle_cluster,69.16384974389148,7.681784029465146,0.12174486708139254,0.04792887414903036,20
8,middle_cluster,74.47639435772071,8.35408672474065,0.13483297986363468,0.04821735193384045,20
9,middle_cluster,76.50133417829565,9.19938618614235,0.1397511040726765,0.048411177125789476,20
10,middle_cluster,80.27055450732587,8.837999704371093,0.13743031467835382,0.04849027357883049,20
1,prefix,5.711989182652905,0.8420383094293836,0.0532439737789915,0.04507364219284129,20
2,prefix,16.00978376014682,1.7515013913965185,0.06401804558332569,0.044419014288014994,20
3,prefix,17.835202199648485,1.616698846219642,0.061732100912824286,0.043622714121276,20
4,prefix,16.752362639286,1.3386515000879984,0.05867173541616723,0.04309910124189974,20
5,prefix,22.070757429005244,1.9035389669837357,0.0628181708501667,0.04242765025773902,20
6,prefix,21.964029328593824,2.001253790195551,0.06262611509272763,0.04199843420237802,20
7,prefix,26.35030454952321,2.488167127299999,0.07481688743415459,0.041752030888747564,20
8,prefix,30.542185838939986,3.555007985078137,0.09150845781071197,0.04181130892789943,20
9,prefix,31.761959024694626,3.6534927180907317,0.09146716664304397,0.0418445615961814,20
10,prefix,44.0188665175865,4.4841681555811475,0.10508884658639277,0.041780945494436096,20
1,suffix,-33.35662420801818,0.4155521358714216,0.050822345245177515,0.04770896157510309,20
2,suffix,-23.16722877507673,1.0629465149384347,0.05811020462785159,0.04810949077091837,20
3,suffix,-9.431214863378319,2.3149762028275402,0.07264866433979403,0.04852253687323048,20
4,suffix,-2.1762178110901003,2.373087698965434,0.07473216148037208,0.048934215692440844,20
5,suffix,9.955498996275129,3.513820577881989,0.08709365509801117,0.04942694347239324,20
6,suffix,14.705319000585586,4.846349201874887,0.09887892711131749,0.049888895261547654,20
7,suffix,22.8035440664029,6.330683911756283,0.11905510574713736,0.05025246414642517,20
8,suffix,22.618497741551984,5.78436315457338,0.11392293070529924,0.050604851191140596,20
9,suffix,25.99605781144455,6.563398569348381,0.12593959507132366,0.05102775124217428,20
10,suffix,29.25086613956173,6.27820300802577,0.12322234616959352,0.05136711866350022,20
