k,mean_information_gain,mean_p_gt_gain,mean_score_after,n
1,88.27210758403525,6.284796504828358,0.342525373068708,20
2,30.422230748530275,4.240984781903054,0.4231981754904101,20
3,15.214913240248643,3.1372318481532377,0.46918826553365445,20
4,7.061610052686956,3.1005643992084133,0.5523691302308757,20
5,10.862235426080588,8.161051234940585,0.6612599982448554,20
6,8.913026282441592,2.409972765783072,0.7435752472163643,20
7,3.6942706775882215,1.2093105935674813,0.7447704556599051,20
8,1.3819161660622905,0.10189619800066778,0.7728489888287163,18
9,0.9917453169609965,0.2073573643055942,0.7725652787524067,18
10,0.5808683321818372,1.7656188381965263,0.8072893985221743,18
