k,layout,mean_information_gain,mean_p_gt_gain,mean_score_after,mean_score_before,n
1,greedy_ig,88.27210758403525,6.284796504828358,0.342525373068708,0.10708761000650702,20
2,greedy_ig,117.34443963391895,10.374399655523906,0.4231981754904101,0.10182010257384669,20
3,greedy_ig,130.29101903091032,13.152088155880943,0.46918826553365445,0.10099394478884549,20
4,greedy_ig,135.28825123404675,15.97060843279217,0.5523691302308757,0.10315331380661605,20
5,greedy_ig,143.307242171136,23.735415973480507,0.6612599982448554,0.09939355968171093,20
6,greedy_ig,149.7036296999628,25.675387538111927,0.7435752472163643,0.08366981566464007,20
7,greedy_ig,150.79211834124453,26.28243207444379,0.7447704556599051,0.08677288060493883,20
8,greedy_ig,165.59097392186393,28.582743777333796,0.7728489888287163,0.09161744340148373,18
9,greedy_ig,163.54244024301917,28.07014631805444,0.7725652787524067,0.07978516444776744,18
10,greedy_ig,160.89021636011586,29.18558624586172,0.8072893985221743,0.07565395504431334,18
1,maximally_separated,33.067792278312844,4.989425235911303,0.2953294029248144,0.10692303581275422,20
2,maximally_separated,18.34417027856107,3.3987475690917393,0.25530223884595415,0.08644039369280566,20
3,maximally_separated,38.73752281759007,6.272774484936241,0.3713992191043636,0.09031021789151111,20
4,maximally_separated,72.13393948492858,12.616914222888237,0.5335798890340346,0.08731407867601523,20
5,maximally_separated,83.49895430297144,16.178479842757916,0.60509820062433,0.08762831783787897,20
6,maximally_separated,105.89975755874585,19.54920010970157,0.7112701408932935,0.07905091172044623,20
7,maximally_separated,117.97303383704293,23.946792821263426,0.6978204933188603,0.07588199375011742,20
8,maximally_separated,138.82863204287298,27.381887680388804,0.7768180009339226,0.08207797260176955,18
9,maximally_separated,148.80812410928178,31.25666674845774,0.8788744695934985,0.08162521776756371,18
10,maximally_separated,150.090241488457,31.004055699317334,0.8847500284864789,0.08336640369625531,18
1,middle_cluster,29.039227995707186,4.157207915126094,0.2765431662581697,0.10694967324869775,20
2,middle_cluster,48.80530864723696,5.827138524397041,0.330103280256523,0.10753138094845853,20
3,middle_cluster,66.14602339831254,10.010071777848166,0.38644091019702276,0.1105491871659872,20
4,middle_cluster,74.52919374964804,11.203306032755375,0.4012901365338507,0.10797517496054818,20
5,middle_cluster,75.84231190190766,11.522870122640605,0.44519646358933923,0.11673109054801525,20
6,middle_cluster,75.03854352071157,11.369706005813981,0.43970969424435913,0.10158303459529361,20
7,middle_cluster,81.67659031373364,13.195874005892316,0.4635268283775697,0.10627714593413137,20
8,middle_cluster,98.885191648845,15.653655662156304,0.49345194062949216,0.1123830744622234,18
9,middle_cluster,97.20087196457797,15.39620289104989,0.4964508592459521,0.12022235665727929,18
10,middle_cluster,104.81715223142409,16.96254293360163,0.5180922042365023,0.11477602727532633,18
1,prefix,16.163460043817757,0.8347475581947699,0.13215025410292747,0.08132276573118864,20
2,prefix,29.81990876593627,2.46227886461626,0.1579753615582141,0.06917644211930354,20
3,prefix,42.9378592271125,2.8397177284450494,0.15845520826321263,0.05706695568235461,20
4,prefix,47.589857523521644,3.292244286936223,0.17919204699335076,0.05287645985844497,20
5,prefix,48.08213867085506,5.688715678779795,0.2430499173011181,0.042688093046838155,20
6,prefix,56.96002570225619,6.242931970360225,0.3116306309003001,0.04145570973170592,20
7,prefix,58.53171722113475,6.282652864137225,0.3085969743440473,0.04031049606086607,20
8,prefix,63.5050374855289,6.685417460500336,0.2871833315230714,0.04184505766109214,18
9,prefix,65.24703881148889,6.515221914334134,0.2806663723130128,0.041099646333881086,18
10,prefix,69.31497574596385,6.8476019134115615,0.2827898409065346,0.03764565266146976,18
1,suffix,10.124703432247042,2.302845547882456,0.23170798032648188,0.10890086075528622,20
2,suffix,25.933648401722895,4.313291502464106,0.3380190255441814,0.11620464948978693,20
3,suffix,31.74805367983754,4.078112251446936,0.35160522242527137,0.12190157396042231,20
4,suffix,41.21693908701061,5.841353373532691,0.4051195671003208,0.13031838011167238,20
5,suffix,47.06333333940465,6.394900551920424,0.42657697871836586,0.13637145703080428,20
6,suffix,48.487587914634354,6.522425041747236,0.43878916746116536,0.13959046604122763,20
7,suffix,52.014879063783226,6.788493884179705,0.41701316409298206,0.11457357873178428,20
8,suffix,58.24242041120946,8.47351292919329,0.4620961477534806,0.1337416700807065,18
9,suffix,53.812563021849584,8.249066810706374,0.46151652866427806,0.14202632446641067,18
10,suffix,56.10907307945694,7.783044154040111,0.4601354676305455,0.15449942542846087,18
