candidate_position,candidate_token_id,candidate_token_text,current_anchors,example_id,information_gain,p_gt_gain,step
0,117603,Janet,[],0,3.2416537404060364,0.2526754633379369,1
1,31310, sells,[],0,11.623294532299042,0.7602997078381577,1
3,16,1,[],0,24.38845646381378,2.1942517237683887,1
4,21,6,[],0,27.889271944761276,2.1160248270527973,1
5,537, -,[],0,40.16901630163193,5.616235766973432,1
7,18,3,[],0,32.22982460260391,3.840784073945315,1
8,537, -,[],0,31.565403163433075,4.160376856343532,1
10,19,4,[],0,24.38632172346115,3.325269282215288,1
11,373, =,[],0,35.22433537244797,5.624186346851502,1
12,3585, <<,[],0,52.27621275186539,11.012230524293273,1
13,16,1,[],0,-5.274958908557892,-0.34968437870156777,1
14,21,6,[],0,-4.43120265007019,-0.24292291569418012,1
15,12,-,[],0,19.591822743415833,3.0894234743248035,1
16,18,3,[],0,-1.9617034196853638,-0.34995654806130005,1
17,12,-,[],0,25.680498957633972,3.8643290281668214,1
18,19,4,[],0,-2.754860758781433,-0.4295675638886678,1
19,28,=,[],0,15.385828495025635,2.042223168915598,1
20,24,9,[],0,20.285819470882416,0.402004400996816,1
21,5284,>>,[],0,29.38365948200226,3.2500299464247746,1
22,24,9,[],0,9.067545533180237,0.013716457774762603,1
23,39111, duck,[],0,9.063345551490784,1.4710948355102573,1
24,16832, eggs,[],0,7.495405495166779,0.9918245523851965,1
25,259, a,[],0,-10.056611359119415,-0.17346947513556188,1
26,1813, day,[],0,12.747135400772095,0.8462173044072756,1
27,13,.,[],0,12.06143981218338,0.8798960559979605,1
29,6572,She,[],0,18.681661888957024,1.7795891833275164,1
30,3524, makes,[],0,4.3754787519574165,0.3370742146937573,1
0,117603,Janet,[12],0,1.6386745274066925,-0.07377710996661335,2
1,31310, sells,[12],0,13.650267392396927,1.9196154230585307,2
3,16,1,[12],0,27.536459354683757,5.0135438670404255,2
4,21,6,[12],0,22.695477610453963,4.78229453955646,2
5,537, -,[12],0,34.68255201447755,6.7550144496835856,2
7,18,3,[12],0,29.791860116645694,6.263906600019254,2
8,537, -,[12],0,20.423150651156902,4.063627644489316,2
10,19,4,[12],0,17.281710609793663,2.566853783093393,2
11,373, =,[12],0,-5.532146990299225,-2.129382375096611,2
13,16,1,[12],0,14.451674066483974,2.622752576469793,2
14,21,6,[12],0,11.943511668592691,3.05548328198347,2
15,12,-,[12],0,13.769572664052248,2.015096802777407,2
16,18,3,[12],0,19.129407084546983,4.397827849179521,2
17,12,-,[12],0,26.30723459320143,5.168634992802254,2
18,19,4,[12],0,15.215448219329119,2.5108300158553902,2
19,28,=,[12],0,21.353911451995373,4.603491586756718,2
20,24,9,[12],0,12.799087047576904,2.9842089620706247,2
21,5284,>>,[12],0,12.565246820449829,3.162424992333399,2
22,24,9,[12],0,18.858560606837273,3.83357754104145,2
23,39111, duck,[12],0,15.48175898194313,0.28021118252127053,2
24,16832, eggs,[12],0,16.980376720428467,2.534135531677748,2
25,259, a,[12],0,1.2301758229732513,0.07279700442450121,2
26,1813, day,[12],0,16.530991554260254,2.195232920820672,2
27,13,.,[12],0,6.226807087659836,-0.21664419051376171,2
29,6572,She,[12],0,14.794351897202432,1.1033757399163733,2
30,3524, makes,[12],0,10.772764600813389,1.391177348576548,2
