k,layout,mean_information_gain,mean_p_gt_gain,mean_score_after,mean_score_before,n
1,greedy_ig,52.27621275186539,11.012230524293273,0.43953760173556683,0.08430435901642898,1
2,greedy_ig,85.67305085528642,17.378479862411268,0.660691458628753,0.08140879654837742,1
1,maximally_separated,-1.9617034196853638,-0.34995654806130005,0.0718493450531828,0.08313826595838603,1
2,maximally_separated,12.5610659327358,0.9350411291218279,0.11721300313923469,0.08604496550184043,1
1,middle_cluster,-1.9617034196853638,-0.34995654806130005,0.0718493450531828,0.08313826595838603,1
2,middle_cluster,23.688267707824707,5.54165651603239,0.2700852470742878,0.08536336320654149,1
1,prefix,3.2416537404060364,0.2526754633379369,0.0914203089045875,0.08326948750658952,1
2,prefix,8.778616547584534,0.9014995554354073,0.11239539367312545,0.08234540849194522,1
1,suffix,4.3754787519574165,0.3370742146937573,0.09521355156178493,0.08434018979747018,1
2,suffix,16.39848120510578,2.5089204572777817,0.17078211976225552,0.08715143785299612,1
